# File: FAO_ag_items_PRODSTAT.csv
# Title: FAO_ag_items_PRODSTAT
# Unit: Unitless
# Description: Maps FAO PRODSTAT crops to GCAM commodities and crop names in all other databases
# Sources: FAO and other databases
# Column types: ciccccicccccccccccc
# ----------
item,item.code,GTAP_crop,GCAM_commodity,GCAM_subsector,CROSIT_crop,CROSIT_cropID,IFA2002_crop,IFA_commodity,MIRCA_crop_name,MIRCA_crop,MIRCA_Crop24and26,MH_crop,MH2011_crop,MH2014_proxy,GTAP_use,Nfix,Suffix,Vish_crop
Papayas,600,Papayas,Fruits,FruitsTree,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Papayas,,Fruits other,,v_f,,Tree,Fruits and Vegetable
Peaches and nectarines,534,Peach_Nctrn,Fruits,FruitsTree,FRUI,19,Peach,FruitsAndVeg,Others (perennial) ,Crop24,Peachesandnectarines,,Fruits other,,v_f,,Tree,Fruits and Vegetable
Pears,521,Pears,Fruits,FruitsTree,FRUI,19,Pear,FruitsAndVeg,Others (perennial) ,Crop24,Pears,,Fruits other,,v_f,,Tree,Fruits and Vegetable
"Peas, dry",187,PeasDry,Legumes,Legumes,PULS,15,"Pea, dry",Other,Pulses,Crop17,,,Peas,"Peas, green",,Nfix,,Other Crops
"Peas, green",417,PeasGreen,Vegetables,Vegetables,VEGE,,"Pea, green",Other,Others (annual),Crop26,Peas_green,,Peas,"Peas, green",v_f,Nfix,,Other Crops
Pepper (piper spp.),687,Pepper,MiscCrop,MiscCrop,,,Pepper,FruitsAndVeg,Others (perennial) ,Crop24,Pepper.Piperspp..,,Pepper,,ocr,,,Fruits and Vegetable
Peppermint,748,Peppermint,MiscCrop,MiscCrop,,,,Other,Others (annual),Crop26,Peppermint,,,,ocr,,,Other Crops
Persimmons,587,Persimmons,Fruits,FruitsTree,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,,,Fruits other,Fruit Fresh Nes,v_f,,Tree,Fruits and Vegetable
Pigeon peas,197,PigeonPeas,Legumes,Legumes,PULS,15,,Other,Pulses,Crop17,,,Pulses other,,,Nfix,,Other Crops
Pineapples,574,Pineapples,Fruits,Fruits,CITR,18,Pineapple,FruitsAndVeg,Others (perennial) ,Crop24,Pineapples,,Pineapples,,v_f,,,Fruits and Vegetable
Pistachios,223,Pistachios,NutsSeeds,NutsSeedsTree,,,Pistachio,Other,Others (perennial) ,Crop24,Pistachios,,,,v_f,,Tree,Other Crops
Plantains and others,489,Plantains,Fruits,FruitsTree,PLAN,12,Plantain,FruitsAndVeg,Others (perennial) ,Crop24,Plantains,,Plantains,,v_f,,Tree,Fruits and Vegetable
Plums and sloes,536,Plums,Fruits,FruitsTree,FRUI,19,Plum,FruitsAndVeg,Others (perennial) ,Crop24,Plumsandsloes,,Fruits other,,v_f,,Tree,Fruits and Vegetable
Popcorn,68,PopCorn,Corn,CornC4,MAIZ,3,,OtherCoarseGrains,Maize,Crop2,,,,,gro,,C4,Other Crops
Poppy seed,296,PoppySeed,NutsSeeds,NutsSeeds,OILC,20,Poppy,OtherOilSeeds,Others (annual),Crop26,Poppyseed,,Oilcrops other,,osd,,,Other Oil Seeds
Potatoes,116,Potatoes,RootTuber,RootTuber,POTA,8,Potato,Other,Potatoes,Crop10,,Potatoes,Potatoes,,,,,Other Crops
"Pulses, nes",211,Pulsesnes,Legumes,Legumes,PULS,15,Pulses,Other,Pulses,Crop17,,,Beans,,,Nfix,,Other Crops
Pumpkins for Fodder,645,,,,,,,,,,,,,,,,,Other Crops
"Pumpkins, squash and gourds",394,PmpknSqshGrd,Vegetables,Vegetables,VEGE,16,Squash,FruitsAndVeg,Others (annual),Crop26,Pumpkins_squashandgourds,,Vegetables other,,v_f,,,Fruits and Vegetable
"Pyrethrum, dried",754,PrthrmDrdFlw,MiscCrop,MiscCrop,,,,Other,Others (annual),Crop26,,,,,ocr,,,Other Crops
Quinces,523,Quinces,Fruits,FruitsTree,FRUI,19,,Other,Others (annual),Crop26,,,Fruits other,Pears,v_f,,Tree,Other Crops
Quinoa,92,Quinoa,OtherGrain,OtherGrain,,,,Other,Others (annual),Crop26,Quinoa,,,,gro,,,Other Coarse Grain
Ramie,788,Ramie,FiberCrop,FiberCrop,,,,Other,Others (annual),Crop26,Ramie,,,,pfb,,,Other Crops
Rapeseed,270,Rapeseed,OilCrop,OilCrop,RAPE,21,Rapeseed,OtherOilSeeds,Rapeseed,Crop15,,Rapeseed,Rapeseed,,osd,,,Other Oil Seeds
