Scenario,State,State_FIPS,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
SSP4,Massachusetts,25000,6942512,7533969,8066565,8500773,8813072,9052686,9205157,9210825,9053430,8770521
SSP4,Michigan,26000,10914347,11701050,12372483,12875581,13186868,13396175,13486148,13369199,13036002,12543625
SSP4,Minnesota,27000,5397615,5762028,6067594,6290503,6421396,6503857,6531298,6462735,6292409,6048358
SSP4,Mississippi,28000,3110532,3275102,3397499,3465829,3479019,3468403,3431916,3347213,3218124,3060561
SSP4,Missouri,29000,6185956,6618250,6980650,7243378,7394388,7489462,7518329,7431874,7228879,6942899
SSP4,Montana,30000,971928,1021956,1056304,1075954,1081708,1077098,1063777,1037941,995931,948424
SSP4,Nebraska,31000,1886887,2016255,2123703,2200550,2244134,2268759,2274344,2245521,2181904,2093856
SSP4,Nevada,32000,2201967,2382007,2541452,2668088,2758292,2824198,2862797,2855771,2798741,2706469
SSP4,New Hampshire,33000,1356879,1436943,1499871,1540139,1556418,1561640,1554388,1524705,1473254,1407111
SSP4,New Jersey,34000,9230760,10004742,10702786,11273374,11685714,12003171,12206768,12218534,12013873,11641822
SSP4,New Mexico,35000,1999955,2134196,2245729,2325997,2371804,2398175,2402782,2374171,2305875,2214184
SSP4,New York,36000,20680445,22344851,23823436,25004091,25825550,26439724,26806928,26755237,26241693,25375958
SSP4,North Carolina,37000,8820490,9390050,9854410,10174113,10335356,10420424,10417641,10258703,9945904,9526196
SSP4,North Dakota,38000,690259,729008,757717,775635,783624,783021,777455,761230,733802,701119
SSP4,Ohio,39000,12496885,13440552,14257716,14884111,15288149,15571837,15713496,15610538,15249830,14698959
SSP4,Oklahoma,40000,3799719,4045139,4245287,4383521,4453719,4490306,4489937,4421850,4287644,4107054
SSP4,Oregon,41000,3759464,4036702,4276078,4457464,4574689,4654274,4693165,4659372,4549631,4382972
SSP4,Pennsylvania,42000,13555259,14550773,15403098,16044396,16443327,16714387,16835120,16695572,16285387,15677631
SSP4,Rhode Island,44000,1133579,1228623,1313666,1382307,1430845,1467619,1490316,1489154,1461930,1414840
SSP4,South Carolina,45000,4394896,4683702,4921248,5087537,5175439,5224924,5230020,5156769,5005078,4798347
SSP4,South Dakota,46000,821063,864539,894865,910562,914581,909356,898425,875031,839493,797858
SSP4,Tennessee,47000,6255062,6669729,7012559,7255026,7386348,7462840,7475861,7376605,7164377,6872301
SSP4,Texas,48000,22868821,24689292,26281847,27523516,28353955,28947504,29269991,29127253,28492895,27495167
SSP4,Utah,49000,2454097,2640936,2805703,2934489,3023426,3087249,3122959,3110884,3046737,2943251
SSP4,Vermont,50000,665073,691553,707924,712329,705136,693805,677919,653343,621619,585781
SSP4,Virginia,51000,7777473,8337742,8814952,9170329,9386852,9530776,9589894,9500952,9259586,8907626
SSP4,Washington,53000,6439275,6933677,7368314,7709649,7940497,8108460,8203139,8171583,8001829,7727892
SSP4,West Virginia,54000,1982130,2078828,2147760,2181921,2181145,2166288,2135722,2076075,1990088,1887961
SSP4,Wisconsin,55000,5861773,6228084,6529016,6739431,6850346,6912798,6919145,6826029,6629586,6359136
SSP4,Wyoming,56000,533006,566244,591802,608899,618937,623656,619290,610546,590526,565394
SSP5,Alabama,1000,4879925,5344402,5961184,6598942,7278847,8033576,8802374,9532725,10158559,10644016
SSP5,Alaska,2000,584718,633022,696102,763162,833711,914312,994209,1071460,1125964,1178366
SSP5,Arizona,4000,5635499,6258344,7052838,7889348,8789514,9786966,10813663,11805338,12679273,13382671
SSP5,Arkansas,5000,2927510,3191147,3545747,3910131,4297466,4727959,5165131,5578210,5929427,6198521
SSP5,California,6000,37366368,41618088,46975824,52642062,58734194,65473037,72415519,79144934,85102583,89947086
SSP5,Colorado,8000,4743967,5251404,5899420,6581362,7313801,8125332,8958117,9762496,10468363,11035767
SSP5,Connecticut,9000,3734929,4145425,4667688,5217371,5807285,6459896,7130344,7777510,8346843,8806000
SSP5,Delaware,10000,849348,941235,1059165,1183113,1316161,1463630,1615126,1761149,1889210,1991947
SSP5,District of Columbia,11000,622061,696658,790049,889286,996280,1114671,1236944,1355891,1461782,1548533
SSP5,Florida,12000,17309771,19167470,21519495,23994454,26647795,29578760,32587868,35492496,38050521,40117566
SSP5,Georgia,13000,9046241,9971099,11176728,12434704,13781366,15275363,16804404,18269463,19541457,20547759
SSP5,Hawaii,15000,1288815,1414691,1575185,1742686,1921240,2118028,2318962,2511612,2679756,2814224
SSP5,Idaho,16000,1416976,1555962,1739235,1927988,2130511,2356559,2585757,2804269,2994091,3142806
SSP5,Illinois,17000,13702403,15186828,17076301,19065325,21200471,23563537,25991744,28335753,30398579,32062470
SSP5,Indiana,18000,6708785,7400432,8299406,9238097,10242792,11356805,12497080,13590134,14540243,15293118
SSP5,Iowa,19000,3207269,3513305,3918909,4338313,4785280,5281072,5786219,6265381,6676416,6995417
SSP5,Kansas,20000,2946998,3247322,3639381,4048220,4485767,4970906,5467075,5942226,6353649,6677619
SSP5,Kentucky,21000,4433426,4850765,5406671,5980529,6591611,7270091,7960351,8615216,9175030,9607761
SSP5,Louisiana,22000,4898095,5378623,6003411,6653235,7346355,8113310,8895894,9643386,10290597,10801026
SSP5,Maine,23000,1371010,1488684,1648465,1811655,1984522,2176261,2369615,2551196,2703560,2818235
SSP5,Maryland,24000,5818179,6468603,7295468,8167637,9105080,10143176,11211361,12244277,13155046,13891468
SSP5,Massachusetts,25000,6942303,7721331,8703755,9740390,10853410,12082941,13347161,14570026,15650332,16526996
SSP5,Michigan,26000,10914449,12037858,13490956,15009502,16635716,18436386,20278233,22043746,23579207,24797584
SSP5,Minnesota,27000,5397801,5928512,6616546,7332359,8095322,8938824,9799334,10621007,11332344,11893099
SSP5,Mississippi,28000,3110835,3388284,3762926,4147058,4554879,5007960,5467378,5900588,6267221,6546787
SSP5,Missouri,29000,6186161,6819190,7644828,8505172,9425775,10446800,11491598,12491201,13359059,14044659
SSP5,Montana,30000,972002,1056178,1166978,1284857,1408172,1547049,1684341,1817085,1926810,2010640
SSP5,Nebraska,31000,1886912,2078361,2329608,2590509,2870475,3180940,3497642,3801790,4063968,4270558
SSP5,Nevada,32000,2201921,2444723,2754145,3080926,3431642,3821911,4222286,4609256,4950747,5226259
SSP5,New Hampshire,33000,1356943,1483833,1652437,1826396,2011537,2216843,2425536,2623532,2792740,2923578
SSP5,New Jersey,34000,9230318,10246515,11525896,12875290,14323391,15921954,17565025,19154132,20558243,21698241
SSP5,New Mexico,35000,1999987,2198752,2456495,2726961,3015671,3334889,3660713,3974370,4244184,4456929
SSP5,New York,36000,20679150,22917763,25759328,28748524,31954505,35497459,39134237,42642665,45728441,48217239
SSP5,North Carolina,37000,8820819,9687073,10827738,12012213,13277306,14681329,16114704,17482150,18661235,19584390
SSP5,North Dakota,38000,690280,752404,835375,921035,1013945,1116006,1219902,1318310,1402268,1466910
SSP5,Ohio,39000,12496924,13818971,15520691,17304926,19218004,21337523,23511736,25603605,27433091,28895712
SSP5,Oklahoma,40000,3799928,4172892,4663610,5173340,5717666,6321845,6938639,7526990,8034331,8431562
SSP5,Oregon,41000,3759556,4150916,4654428,5182238,5747288,6373852,7014645,7631075,8168648,8597297
SSP5,Pennsylvania,42000,13555221,14971171,16800943,18714447,20763241,23032694,25357033,27588376,29533330,31081250
SSP5,Rhode Island,44000,1133544,1260192,1420670,1589911,1771703,1972813,2179618,2379607,2556034,2698862
SSP5,South Carolina,45000,4395162,4829220,5398885,5990915,6623382,7324789,8041121,8725105,9315647,9779353
SSP5,South Dakota,46000,821097,893704,992181,1094516,1203520,1322855,1444533,1560338,1657837,1730588
SSP5,Tennessee,47000,6255361,6874312,7684927,8527924,9428548,10427213,11447343,12421753,13264154,13926500
SSP5,Texas,48000,22868769,25366997,28554735,31903120,35491073,39463435,43541694,47476045,50925352,53692844
SSP5,Utah,49000,2454070,2710210,3036605,3380006,3747944,4154356,4571472,4973317,5325956,5609755
SSP5,Vermont,50000,665146,717475,790388,863993,941707,1027934,1114621,1195045,1261256,1309637
SSP5,Virginia,51000,7777589,8582141,9625170,10715440,11883011,13177414,14503090,15775298,16883039,17763273
SSP5,Washington,53000,6439327,7116098,7980835,8887929,9860162,10935187,12037700,13100086,14031817,14780211
SSP5,West Virginia,54000,1982345,2152379,2383849,2620085,2870341,3148163,3428971,3692759,3914250,4081174
SSP5,Wisconsin,55000,5862033,6412620,7133856,7881973,8679665,9562922,10463498,11321580,12061659,12641464
SSP5,Wyoming,56000,533027,585058,650998,721243,796530,880012,965641,1046083,1114890,1168463
