Region,Technology,Fuel,2005Vintage,PHEV,Emission,2005,2010
R8,TBDSLC,DSL,no,no,BC,0,0
R8,TBDSLC10,DSL,no,no,BC,0,0.028
R8,TBDSLE,DSL,yes,no,BC,0.17,0.082
R8,TBGSLE,GSL,yes,no,BC,0,0
R8,TCDSLC,DSL,no,no,BC,0,0
R8,TCDSLC10,DSL,no,no,BC,0,0.109
R8,TCDSLE,DSL,yes,no,BC,0.852,0.438
R8,TCE85C,E85,no,no,BC,0,0
R8,TCGSLC,GSL,no,no,BC,0,0
R8,TCGSLC10,GSL,no,no,BC,0,0.001
R8,TCGSLE,GSL,yes,no,BC,0.042,0.021
R8,THLB20C,B20,no,no,BC,0,0
R8,THLDSLC,DSL,no,no,BC,0,0
R8,THLDSLC10,DSL,no,no,BC,0,1.05
R8,THLDSLE,DSL,yes,no,BC,7.001,3.484
R8,THLLPGE,Other,yes,no,BC,0,0
R8,THSCNGC,CNG,no,no,BC,0,0
R8,THSCNGC10,CNG,no,no,BC,0,0
R8,THSCNGE,CNG,yes,no,BC,0,0
R8,THSDSLC,DSL,no,no,BC,0,0
R8,THSDSLC10,DSL,no,no,BC,0,0.54
R8,THSDSLE,DSL,yes,no,BC,5.217,2.427
R8,THSGSLE,GSL,yes,no,BC,0.001,0.001
R8,THSLPGE,Other,yes,no,BC,0,0
R8,TLCCNG10,CNG,no,no,BC,0,0
R8,TLCCONV10,GSL,no,no,BC,0,0.024
R8,TLCDSL10,DSL,no,no,BC,0,0
R8,TLCHEV10,Other,no,no,BC,0,0.003
R8,TLECGSL,GSL,yes,no,BC,0.284,0.123
R8,TLECNGX,CNG,yes,no,BC,0.002,0.001
R8,TLEELC,Other,yes,no,BC,0,0
R8,TLEETHX,ETH,yes,no,BC,0.002,0.001
R8,TLEFDSL,DSL,yes,no,BC,0.002,0.001
R8,TLEFGSL,GSL,yes,no,BC,0.227,0.098
R8,TLELPGX,Other,yes,no,BC,0.004,0.002
R8,TLELSGSL,GSL,yes,no,BC,0.058,0.028
R8,TLEMCGSL,GSL,yes,no,BC,0.017,0.007
