Region,Demand,Description,Units,MARKAL Tech,Class,Electrification,Fuel,Vintage,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
5,TL,Light duty vehicles,bn-vmt,TLFCONV10,Full size car,,GSL,2010,0,46.55,99.66,149.92,186.89,206.17,223,238.86,253.49,269.23,284.32
5,TL,Light duty vehicles,bn-vmt,TLFDSL10,Full size car,,DSL,2010,0,1.08,1.08,1.08,1.08,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLFHEV10,Full size car,Hybrid,Hybrid GSL,2010,0,3.92,3.92,3.92,3.92,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLLSCONV10,Large SUV,,GSL,2010,0,25.93,49.91,69.88,83.84,81.52,81.88,84.22,87.14,89.4,92.03
5,TL,Light duty vehicles,bn-vmt,TLMCCONV10,Mini car,,GSL,2010,0,3.07,5.46,6.95,8.04,6.91,6.58,7.05,7.5,8.02,8.5
5,TL,Light duty vehicles,bn-vmt,TLMCONV10,Minivan,,GSL,2010,0,10.32,10.32,18.56,24.34,23.86,33.99,35.04,36.3,37.27,38.4
5,TL,Light duty vehicles,bn-vmt,TLMDHEV15,Minivan,Hybrid,Hybrid DSL,2015,0,0,7.78,7.78,7.78,7.78,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLMP20G10,Minivan,Plugin-20mi,PH20G,2010,0,0,1.92,1.92,1.92,1.92,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLPCNG10,Pickup,,CNG,2010,0,0.14,0.14,0.14,0.14,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLPCONV10,Pickup,,GSL,2010,0,17.96,42.6,65.86,82.17,91.88,95.75,98.63,102.1,104.72,107.79
5,TL,Light duty vehicles,bn-vmt,TLPDSL10,Pickup,,DSL,2010,0,5.88,5.88,5.88,5.88,0,0,0,0,0,0
5,TL,Light duty vehicles,bn-vmt,TLSSCONV10,Small SUV,,GSL,2010,0,29.74,57.62,85.51,104.89,107.73,113.23,115.78,119.33,121.71,124.74
5,TL,Light duty vehicles,bn-vmt,TLSSDSL10,Small SUV,,DSL,2010,0,0,6.22,12.27,16.62,24.2,25.93,27.31,28.69,30.08,31.46
5,TL,Light duty vehicles,bn-vmt,TLSSHEV10,Small SUV,Hybrid,Hybrid GSL,2010,0,1.76,1.76,1.76,1.76,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLCCNG10,Compact car,,CNG,2010,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLCCONV10,Compact car,,GSL,2010,0,8.82,19.82,32.13,40.57,46.03,50.57,52.8,54.67,56.9,58.93
6,TL,Light duty vehicles,bn-vmt,TLCDSL10,Compact car,,DSL,2010,0,0,0.32,0.63,0.84,1.18,1.22,1.25,1.28,1.31,1.34
6,TL,Light duty vehicles,bn-vmt,TLECGSL,Compact car,,GSL,Existing,55.63,38.94,22.81,8.9,0,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLECNGX,Miscl,,CNG,Existing,0.06,0.04,0.02,0.01,0,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLEELC,Miscl,Electric,ELC,Existing,0.01,0.01,0,0,0,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLEETHX,Miscl,,E85,Existing,0.34,0.24,0.14,0.05,0,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLEFDSL,Full size car,,DSL,Existing,0.74,0.52,0.3,0.12,0,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLEFGSL,Full size car,,GSL,Existing,44.46,31.12,18.23,7.11,0,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLELPGX,Miscl,,LPG,Existing,1.38,0.96,0.57,0.22,0,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLELSGSL,Large SUV,,GSL,Existing,6.91,4.87,2.85,1.11,0,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLEMCGSL,Mini car,,GSL,Existing,3.3,2.31,1.35,0.53,0,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLEMGSL,Minivan,,GSL,Existing,11.64,8.15,4.77,1.86,0,0,0,0,0,0,0
