INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechRESSecondaryOutput,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,res.secondary.output,output.ratio,pMult,new.vintage.only
MS,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
MS,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
MS,electricity,wind,wind,1975,ELEC_RPS,1,1,1
MS,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
MS,electricity,solar,PV,1975,ELEC_RPS,1,1,1
MS,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
MS,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
MS,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
MS,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
MT,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
MT,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
MT,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
MT,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
MT,electricity,wind,wind,1975,ELEC_RPS,1,1,1
MT,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
MT,electricity,solar,PV,1975,ELEC_RPS,1,1,1
MT,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
MT,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
MT,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
MT,electricity,geothermal,geothermal,1975,ELEC_RPS,1,1,1
MT,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
NC,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
NC,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
NC,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
NC,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
NC,electricity,wind,wind,1975,ELEC_RPS,1,1,1
NC,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
NC,electricity,solar,PV,1975,ELEC_RPS,1,1,1
NC,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
NC,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
NC,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
NC,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
ND,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
ND,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
ND,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
ND,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
ND,electricity,wind,wind,1975,ELEC_RPS,1,1,1
ND,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
ND,electricity,solar,PV,1975,ELEC_RPS,1,1,1
ND,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
ND,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
ND,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
ND,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
NE,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
NE,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
NE,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
NE,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
NE,electricity,wind,wind,1975,ELEC_RPS,1,1,1
NE,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
NE,electricity,solar,PV,1975,ELEC_RPS,1,1,1
NE,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
NE,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
NE,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
NE,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
NH,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
NH,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
NH,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
NH,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
NH,electricity,wind,wind,1975,ELEC_RPS,1,1,1
NH,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
NH,electricity,solar,PV,1975,ELEC_RPS,1,1,1
NH,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
NH,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
NH,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
NH,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
NJ,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
NJ,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
NJ,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
NJ,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
NJ,electricity,wind,wind,1975,ELEC_RPS,1,1,1
NJ,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
NJ,electricity,solar,PV,1975,ELEC_RPS,1,1,1
NJ,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
NJ,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
NJ,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
NJ,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
NM,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
NM,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
NM,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
NM,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
NM,electricity,wind,wind,1975,ELEC_RPS,1,1,1
NM,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
NM,electricity,solar,PV,1975,ELEC_RPS,1,1,1
NM,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
NM,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
NM,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
NM,electricity,geothermal,geothermal,1975,ELEC_RPS,1,1,1
