# File: Springmann_FLX_diet.csv
# Title: 2050 Flexitarian (FLX) versus benchmark (BMK) diet
# Units: kcal per person per day
# Source: https://doi.org/10.1016/S2542-5196(18)30206-7
# Column types: ccnn
# ----------
food_group,iso,BMK,FLX
othr_grains,DZA,79.84078107,55.28518451
othr_grains,ECU,13.11965304,12.93124085
othr_grains,EGY,19.04571349,9.97205358
othr_grains,ERI,642.3525405,352.1447697
othr_grains,ETH,840.7257464,368.2071762
othr_grains,FJI,6.937483056,3.533273575
othr_grains,FNP,120.0629091,141.999622
othr_grains,FRP,4.011982986,5.081636585
othr_grains,GAB,2.097953032,1.116359126
othr_grains,GEO,43.14049193,31.75510525
othr_grains,GHA,141.0905365,64.67819239
othr_grains,GIN,199.6429286,89.50886615
othr_grains,GMB,541.2394417,306.0797532
othr_grains,GNB,269.6791934,159.2402484
othr_grains,GNQ,,167.866382
othr_grains,GRC,11.15726966,10.22672412
othr_grains,GSA,6.203441551,3.847109165
othr_grains,GTM,15.88545145,13.72605936
othr_grains,HND,31.25857682,28.4503524
othr_grains,HRV,16.46311096,18.24993394
othr_grains,HTI,28.9733979,28.96426456
othr_grains,HUN,4.909470933,4.747023113
othr_grains,IDN,0.159821137,0.073495241
othr_grains,IND,89.34646738,51.22615772
othr_grains,IRL,30.3573475,33.23832934
othr_grains,IRN,3.549162021,2.28005371
othr_grains,IRQ,19.53320236,14.96062345
othr_grains,ISL,23.11144143,35.87911577
othr_grains,ISR,8.751258127,4.095379074
othr_grains,ITP,2.416162509,2.177039124
othr_grains,JAM,8.738765243,7.441308584
othr_grains,JOR,3.579144304,2.426219807
othr_grains,JPN,9.089132874,7.859623414
othr_grains,KAZ,36.97349702,27.6232235
othr_grains,KEN,35.04624075,18.63397107
othr_grains,KGZ,5.325731696,3.89346919
othr_grains,KHM,0.133282989,0.06838917
othr_grains,KOR,21.71024243,19.27413909
othr_grains,LAO,0.759223455,0.407177598
othr_grains,LBN,3.832226473,3.15956507
othr_grains,LBR,2.136815127,1.540415319
othr_grains,LBY,58.42611652,38.92393227
othr_grains,LKA,3.044922947,1.948893174
othr_grains,LSO,182.1722497,95.2261699
othr_grains,MDA,26.91323018,24.64270058
othr_grains,MDG,1.686043911,0.926991872
othr_grains,MEX,29.84188427,21.05909558
othr_grains,MLI,620.2156858,337.9515429
othr_grains,MMR,23.25630863,12.57835019
othr_grains,MNG,8.804586434,5.763532004
othr_grains,MOR,209.4516329,129.4672082
othr_grains,MOZ,75.14648603,45.86717575
othr_grains,MRT,175.0584145,74.18578493
othr_grains,MWI,25.67487186,14.55448526
othr_grains,MYS,63.70307941,38.99857083
othr_grains,NAM,351.0163346,215.83695
othr_grains,NER,1027.028345,362.3619476
othr_grains,NGA,479.1610958,226.6474453
othr_grains,NIC,17.15570178,11.47038601
othr_grains,NLD,14.67439424,21.46364396
othr_grains,NOR,73.18861774,84.82056552
othr_grains,NPL,66.73617043,33.2987891
othr_grains,NZL,23.61388245,33.61883501
othr_grains,OAO,18.06068185,11.80306387
othr_grains,OBN,10.34170186,6.58511802
othr_grains,OIO,4.253378477,3.7286592
othr_grains,OPO,5.107329179,3.414603736
othr_grains,OSA,50.43494703,37.58334411
othr_grains,PAK,12.44327609,10.29712999
othr_grains,PAN,20.74137178,17.45229946
othr_grains,PER,36.87028899,21.77763817
othr_grains,PHL,3.45454896,2.29183704
othr_grains,PNG,6.791605696,0.40485761
othr_grains,POL,177.6297716,143.5813383
othr_grains,PRK,36.00655402,31.02734289
othr_grains,PRT,25.17106825,25.83630844
othr_grains,PRY,1.627000389,1.30661595
othr_grains,PSE,141.471729,97.53911792
othr_grains,RAP,0.974532934,0.408742917
othr_grains,ROU,11.19336942,8.314824714
othr_grains,RUS,40.29895316,36.64423226
othr_grains,RWA,234.6705674,97.15595546
othr_grains,SAU,95.39009755,67.58798333
othr_grains,SDN,579.021303,371.8844088
othr_grains,SEN,244.9145966,114.7536653
othr_grains,SLB,0.19466686,0.100315809
othr_grains,SLE,43.03784741,26.17983463
othr_grains,SLV,111.8842141,103.5989845
othr_grains,SOM,106.5949295,363.3473026
othr_grains,SPP,4.353682102,5.160661803
othr_grains,SVK,53.28775774,62.03423348
othr_grains,SVN,34.54534652,30.29593386
othr_grains,SWE,64.68654255,87.44788985
othr_grains,SWZ,27.82621422,15.51557702
othr_grains,SYR,1.281178383,0.841478546
othr_grains,TCD,778.5382478,383.6506405
othr_grains,TGO,267.1136671,134.0054807
othr_grains,THA,0.036105435,0.02018879
othr_grains,TJK,42.63379059,34.95816196
othr_grains,TKM,2.223737813,1.569182403
othr_grains,TLS,0.01900399,0.008985922
othr_grains,TUN,37.75613876,20.15477799
othr_grains,TUR,17.34157973,12.373226
othr_grains,TZA,72.86212419,42.69568877
othr_grains,UGA,133.832872,82.79590942
othr_grains,UKP,22.15742171,22.98361162
othr_grains,UKR,56.90313679,45.33605145
othr_grains,URY,2.294688293,1.897929137
othr_grains,USA,22.54260262,26.02267965
othr_grains,UZB,9.057894727,6.185366618
othr_grains,VEN,9.649429251,10.11634718
othr_grains,VNM,0.006447856,0.003621599
othr_grains,VUT,23.66607079,6.348075715
othr_grains,YEM,123.3497071,101.2516656
othr_grains,ZAF,27.42837843,13.02425862
othr_grains,ZMB,92.95346418,39.81758728
othr_grains,ZWE,119.6178889,67.87428136
roots,all-r,133.913993,80.53145915
roots,HIC,68.39500821,72.59611303
roots,LMC,123.3737397,61.65738256
roots,UMC,94.41048493,76.03902286
roots,LIC,234.6528587,141.7787523
roots,AFG,25.01997038,16.42975643
roots,AGO,417.1885384,239.3849379
roots,ALB,41.50007205,40.26632169
roots,ARG,85.12955255,85.70837294
roots,ARM,91.7927439,78.85444596
roots,AUS,52.10809644,81.2128906
roots,AUT,76.65440243,68.69071233
roots,AZE,106.9609548,64.18592346
roots,BDI,496.8283727,279.6683685
roots,BEN,738.1759877,301.2729555
roots,BFA,16.25700158,7.546430787
roots,BGD,78.6379397,30.60839363
roots,BGR,43.21587729,45.06150374
roots,BLR,175.7012945,205.2923336
roots,BLT,114.9309717,130.9879347
roots,BLX,89.36997206,112.4235004
roots,BLZ,26.64355534,24.3027988
roots,BOL,120.1100096,102.4878035
roots,BRA,91.9194918,79.52335701
roots,BTN,137.4345568,87.38689069
roots,BWA,143.7992164,121.9103461
roots,CAF,519.7808974,309.2869153
roots,CAN,71.33975585,73.01994129
