# File: Scout_bld_calibration.csv
# Title: Buildings sector calibration from Scout model
# Units: unitless shares
# Comments: Scout output data processed to compute shares of service/technology within state/sector/fuel
# Source:  LBNL team (Aven Satre-Meloy) provided for DECARB project
# Column types: cccccinn
# ----------
state,sector,fuel,service,technology,year,share,energy
Delaware,resid,refined liquids,cooking,lpg oven,2015,0.0091124,5.34e-5
Delaware,resid,refined liquids,heating,fuel furnace,2015,0.8162729,0.0047842
Delaware,resid,refined liquids,hot water,fuel water heater,2015,0.1264136,7.409e-4
Delaware,resid,refined liquids,other,refined liquids,2015,0.0482011,2.825e-4
District of Columbia,comm,electricity,cooking,electric range,2015,0.0160323,1.89e-4
District of Columbia,comm,electricity,cooling,air conditioning,2015,0.1276368,0.0015043
District of Columbia,comm,electricity,heating,electric furnace,2015,0.0147003,1.733e-4
District of Columbia,comm,electricity,heating,electric heat pump,2015,0.0091985,1.084e-4
District of Columbia,comm,electricity,hot water,electric heat pump water heater,2015,7.05e-5,8e-7
District of Columbia,comm,electricity,hot water,electric resistance water heater,2015,0.0068086,8.02e-5
District of Columbia,comm,electricity,lighting,lighting,2015,0.1091197,0.0012861
District of Columbia,comm,electricity,office,office equipment,2015,0.1162179,0.0013697
District of Columbia,comm,electricity,other,electricity,2015,0.3916497,0.0046159
District of Columbia,comm,electricity,refrigeration,refrigeration,2015,0.1223903,0.0014425
District of Columbia,comm,electricity,ventilation,ventilation,2015,0.0861754,0.0010156
District of Columbia,comm,gas,cooking,gas range,2015,0.1753621,0.0011629
District of Columbia,comm,gas,cooling,gas cooling,2015,0.0253966,1.684e-4
District of Columbia,comm,gas,heating,gas furnace,2015,0.4753915,0.0031525
District of Columbia,comm,gas,hot water,gas water heater,2015,0.2424838,0.001608
District of Columbia,comm,gas,other,gas,2015,0.0813661,5.396e-4
District of Columbia,comm,refined liquids,heating,fuel furnace,2015,0.2411023,3.135e-4
District of Columbia,comm,refined liquids,hot water,fuel water heater,2015,0.056167,7.3e-5
District of Columbia,comm,refined liquids,other,refined liquids,2015,0.7027307,9.138e-4
District of Columbia,resid,biomass,heating,wood furnace,2015,1,0.0011307
District of Columbia,resid,electricity,clothes dryers,clothes dryer,2015,0.0362501,4.743e-4
District of Columbia,resid,electricity,clothes washers,clothes washer,2015,0.0059139,7.74e-5
District of Columbia,resid,electricity,computers,electricity,2015,0.0201343,2.635e-4
District of Columbia,resid,electricity,cooking,electric oven,2015,0.0106805,1.398e-4
District of Columbia,resid,electricity,cooling,air conditioning,2015,0.1338336,0.0017513
District of Columbia,resid,electricity,dishwashers,dishwasher,2015,0.0041277,5.4e-5
District of Columbia,resid,electricity,freezers,freezer,2015,0.0091283,1.194e-4
