"sourceTypeModelYearID";"sourceTypeID";"modelYearID";"fuelTypeID";"engTechID";"regClassID";"stmyFuelEngFraction";"stmyFraction"
431967;43;1967;2;1;47;0.04081632653061224;0.0024154589371980675
431967;43;1967;2;1;41;0.02040816326530612;0.0012077294685990338
541967;54;1967;1;1;46;0.297029702970297;0.25210084033613445
541967;54;1967;1;1;42;0.39603960396039606;0.33613445378151263
541967;54;1967;1;1;47;0.039603960396039604;0.03361344537815126
541967;54;1967;1;1;41;0.26732673267326734;0.226890756302521
541967;54;1967;2;1;47;0.05555555555555555;0.008403361344537815
541967;54;1967;2;1;41;0.2777777777777778;0.04201680672268908
541967;54;1967;2;1;46;0.2777777777777778;0.04201680672268908
541967;54;1967;2;1;42;0.3888888888888889;0.058823529411764705
111968;11;1968;1;1;10;1.0;1.0
411968;41;1968;2;1;47;0.6709677419354839;0.6709677419354839
411968;41;1968;2;1;41;0.1870967741935484;0.1870967741935484
411968;41;1968;2;1;42;0.01935483870967742;0.01935483870967742
411968;41;1968;2;1;46;0.12258064516129032;0.12258064516129032
421968;42;1968;1;1;47;1.0;0.009615384615384616
532037;53;2037;1;1;41;0.33199877854628496;0.0
532036;53;2036;1;1;41;0.33199877854628496;0.0
421968;42;1968;2;1;48;1.0;0.9903846153846154
421968;42;1968;3;1;48;1.0;0.0
431968;43;1968;1;1;42;0.006418485237483954;0.006038647342995169
431968;43;1968;1;1;46;0.938382541720154;0.8828502415458938
431968;43;1968;1;1;41;0.010269576379974325;0.00966183574879227
431968;43;1968;1;1;47;0.044929396662387676;0.042270531400966184
532035;53;2035;1;1;41;0.33199877854628496;0.0
431968;43;1968;2;1;46;0.9387755102040817;0.05555555555555555
431968;43;1968;2;1;47;0.04081632653061224;0.0024154589371980675
431968;43;1968;2;1;41;0.02040816326530612;0.0012077294685990338
541968;54;1968;1;1;46;0.297029702970297;0.25210084033613445
541968;54;1968;1;1;42;0.39603960396039606;0.33613445378151263
541968;54;1968;1;1;47;0.039603960396039604;0.03361344537815126
541968;54;1968;1;1;41;0.26732673267326734;0.226890756302521
541968;54;1968;2;1;47;0.05555555555555555;0.008403361344537815
541968;54;1968;2;1;41;0.2777777777777778;0.04201680672268908
541968;54;1968;2;1;46;0.2777777777777778;0.04201680672268908
541968;54;1968;2;1;42;0.3888888888888889;0.058823529411764705
111969;11;1969;1;1;10;1.0;1.0
411969;41;1969;2;1;47;0.6709677419354839;0.6709677419354839
411969;41;1969;2;1;41;0.1870967741935484;0.1870967741935484
411969;41;1969;2;1;42;0.01935483870967742;0.01935483870967742
411969;41;1969;2;1;46;0.12258064516129032;0.12258064516129032
421969;42;1969;1;1;47;1.0;0.009615384615384616
532034;53;2034;1;1;41;0.33199877854628496;0.0
532033;53;2033;1;1;41;0.33199877854628496;0.0
421969;42;1969;2;1;48;1.0;0.9903846153846154
421969;42;1969;3;1;48;1.0;0.0
431969;43;1969;1;1;42;0.006418485237483954;0.006038647342995169
431969;43;1969;1;1;46;0.938382541720154;0.8828502415458938
431969;43;1969;1;1;41;0.010269576379974325;0.00966183574879227
431969;43;1969;1;1;47;0.044929396662387676;0.042270531400966184
532032;53;2032;1;1;41;0.33199877854628496;0.0
431969;43;1969;2;1;46;0.9387755102040817;0.05555555555555555
431969;43;1969;2;1;47;0.04081632653061224;0.0024154589371980675
431969;43;1969;2;1;41;0.02040816326530612;0.0012077294685990338
541969;54;1969;1;1;46;0.297029702970297;0.25210084033613445
541969;54;1969;1;1;42;0.39603960396039606;0.33613445378151263
541969;54;1969;1;1;47;0.039603960396039604;0.03361344537815126
541969;54;1969;1;1;41;0.26732673267326734;0.226890756302521
541969;54;1969;2;1;47;0.05555555555555555;0.008403361344537815
541969;54;1969;2;1;41;0.2777777777777778;0.04201680672268908
541969;54;1969;2;1;46;0.2777777777777778;0.04201680672268908
541969;54;1969;2;1;42;0.3888888888888889;0.058823529411764705
111970;11;1970;1;1;10;1.0;1.0
411970;41;1970;2;1;47;0.6709677419354839;0.6709677419354839
411970;41;1970;2;1;41;0.1870967741935484;0.1870967741935484
411970;41;1970;2;1;42;0.01935483870967742;0.01935483870967742
411970;41;1970;2;1;46;0.12258064516129032;0.12258064516129032
421970;42;1970;1;1;47;1.0;0.009615384615384616
532031;53;2031;1;1;41;0.33199877854628496;0.0
532030;53;2030;1;1;41;0.33199877854628496;0.0
421970;42;1970;2;1;48;1.0;0.9903846153846154
421970;42;1970;3;1;48;1.0;0.0
431970;43;1970;1;1;42;0.006418485237483954;0.006038647342995169
431970;43;1970;1;1;46;0.938382541720154;0.8828502415458938
431970;43;1970;1;1;41;0.010269576379974325;0.00966183574879227
431970;43;1970;1;1;47;0.044929396662387676;0.042270531400966184
532029;53;2029;1;1;41;0.33199877854628496;0.0
431970;43;1970;2;1;46;0.9387755102040817;0.05555555555555555
431970;43;1970;2;1;47;0.04081632653061224;0.0024154589371980675
431970;43;1970;2;1;41;0.02040816326530612;0.0012077294685990338
541970;54;1970;1;1;46;0.297029702970297;0.25210084033613445
541970;54;1970;1;1;42;0.39603960396039606;0.33613445378151263
541970;54;1970;1;1;47;0.039603960396039604;0.03361344537815126
541970;54;1970;1;1;41;0.26732673267326734;0.226890756302521
541970;54;1970;2;1;47;0.05555555555555555;0.008403361344537815
541970;54;1970;2;1;41;0.2777777777777778;0.04201680672268908
541970;54;1970;2;1;46;0.2777777777777778;0.04201680672268908
541970;54;1970;2;1;42;0.3888888888888889;0.058823529411764705
111971;11;1971;1;1;10;1.0;1.0
411971;41;1971;2;1;47;0.6709677419354839;0.6709677419354839
